column_name,dtype,non_null_count,missing_count,missing_proportion
DATASET,str,242036,0,0.0
NLME_RESULT_ID,int64,242036,0,0.0
NLME_CURVE_ID,int64,242036,0,0.0
COSMIC_ID,int64,242036,0,0.0
CELL_LINE_NAME,str,242036,0,0.0
SANGER_MODEL_ID,str,242036,0,0.0
TCGA_DESC,str,240969,1067,0.004408435108826786
DRUG_ID,int64,242036,0,0.0
DRUG_NAME,str,242036,0,0.0
PUTATIVE_TARGET,str,214881,27155,0.11219405377712406
PATHWAY_NAME,str,242036,0,0.0
COMPANY_ID,int64,242036,0,0.0
WEBRELEASE,str,242036,0,0.0
MIN_CONC,float64,242036,0,0.0
MAX_CONC,float64,242036,0,0.0
LN_IC50,float64,242036,0,0.0
AUC,float64,242036,0,0.0
RMSE,float64,242036,0,0.0
Z_SCORE,float64,242036,0,0.0
