feature,coefficient,abs_coefficient
KRTAP6-1 (337966),0.0725185520599635,0.0725185520599635
TTLL2 (83887),0.0575669394479909,0.0575669394479909
ANXA2R (389289),0.0558252381432168,0.0558252381432168
MIEN1 (84299),0.0498612208689352,0.0498612208689352
KCNK15 (60598),0.0481598059075005,0.0481598059075005
OR5AR1 (219493),0.0476647125322864,0.0476647125322864
ATP1B4 (23439),0.0464900184324152,0.0464900184324152
MAML2 (84441),0.0445680335235225,0.0445680335235225
UBQLN2 (29978),0.0431591504266986,0.0431591504266986
CHD3 (1107),0.0421264280861052,0.0421264280861052
ELF5 (2001),0.0416287652658077,0.0416287652658077
H1-6 (3010),0.039475701708363,0.039475701708363
SLC34A1 (6569),0.0375276338308379,0.0375276338308379
SLC39A6 (25800),0.0374695464423702,0.0374695464423702
WDR38 (401551),0.0366899838950694,0.0366899838950694
NIM1K (167359),0.0362844102393985,0.0362844102393985
ROR2 (4920),0.0361664807497962,0.0361664807497962
NAP1L2 (4674),0.0359274797573512,0.0359274797573512
FGF2 (2247),0.0357219160383056,0.0357219160383056
AIRIM (54955),0.0355714269353155,0.0355714269353155
STK3 (6788),0.0354909098295135,0.0354909098295135
NLRP2 (55655),0.0350856885489601,0.0350856885489601
PEG10 (23089),0.0349232667491518,0.0349232667491518
FBLN2 (2199),0.0345297500202202,0.0345297500202202
PIWIL1 (9271),0.0342687150504343,0.0342687150504343
